OBJECTID_1,Site_Name,Designation_Type,Link_to_CA,Link_to_GMA,Traffic_Light_Colour_using_80__,Notes,Number_of_Marine_Components,Perc_in_Fav_or_Unfav_Recover,GEOGRAPHIC_LOCATION,Country,EST_DATE,STATUS,SITE_CODE,LEAD,Features,Feature_Designation_Dates,Feature_Management_Approaches,Feature_Conditions,Feature_Favourable,Feature_Unfavourable_Recovering,Feature_Unfavourable_No_Change,Feature_Unfavourable_Declining,Feature_Partially_Destroyed,Feature_Destroyed,Feature_Not_Assessed
318,Solan Bank Reef,SAC,https://sitelink.nature.scot/site/10259,,Condition_Unknown,,1,,,Scotland inshore & Scotland offshore,,,UK0030386,,Reefs,29/09/2017,-,N,-,-,-,-,-,-,-
319,Loch nam Madadh,SAC,https://sitelink.nature.scot/site/8301,,Recovered/Recovering,,6,1,,Scotland inshore,,,UK0017070,,Intertidal mudflats and sandflats; Lagoons; Otter (Lutra lutra); Reefs; Shallow inlets and bays; Subtidal sandbanks,17/03/2005; 17/03/2005; 17/03/2005; 17/03/2005; 17/03/2005; 17/03/2005,-; -; -; -; -; -,Y; Y; Y; Y; Y; Y,-; -; -; -; -; -,-; -; -; -; -; -,-; -; -; -; -; -,-; -; -; -; -; -,-; -; -; -; -; -,-; -; -; -; -; -,-; -; -; -; -; -
320,South Uist Machair,SAC,https://sitelink.nature.scot/site/8380,,Recovered/Recovering,,3,1,,Scotland inshore,,,UK0012713,,"Annual vegetation of drift lines; Calcium-rich nutrient-poor lakes, lochs and pools; Clear-water lakes or lochs with aquatic vegetation and poor to moderate nutrient levels; Dune grassland; Humid dune slacks; Lagoons; Machair; Naturally nutrient-rich lakes or lochs which are often dominated by pondweeds; Nutrient-poor shallow waters with aquatic vegetation on sandy plains; Otter (Lutra lutra); Shifting dunes with marram; Slender naiad (Najas flexilis)",17/03/2005; 17/03/2005; 17/03/2005; 17/03/2005; 17/03/2005; 17/03/2005; 17/03/2005; 17/03/2005; 17/03/2005; 17/03/2005; 17/03/2005; 17/03/2005,-; -; -; -; -; -; -; -; -; -; -; -,Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y,-; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -
321,Sound of Arisaig (Loch Ailort to Loch Ceann Traigh),SAC,https://sitelink.nature.scot/site/8379,,Recovered/Recovering,,1,1,,Scotland inshore,,,UK0019802,,Subtidal sandbanks,17/03/2005,-,Y,-,-,-,-,-,-,-
322,Dee Estuary/ Aber Dyfrdwy,SAC,https://naturalresources.wales/evidence-and-data/research-and-reports/protected-sites-baseline-assessment-2020/?lang=en,http://publications.naturalengland.org.uk/publication/2986296?category=3229185,Mixed_Picture,,5,0.6,,England inshore & Wales inshore,,,UK0030131,,H1210 Annual vegetation of drift lines; H1230 Vegetated sea cliffs of the Atlantic and Baltic coasts; H2110 Embryonic shifting dunes; H2120 Shifting dunes along the shoreline with Ammophila arenaria (white dunes); H2130 Fixed dunes with herbaceous vegetation (grey dunes); H2190 Humid dune slacks; S1395 Petalwort (Petalophyllum ralfsii); Atlantic salt meadows (Glauco-Puccinellietalia maritimae); Estuaries; Mudflats and sandflats not covered by seawater at low tide; River lamprey (Lampetra fluviatilis); Salicornia and other annuals colomizing mud and sand; Sea lamprey (Petromyzon marinus),01/12/2009; 01/12/2009; 01/12/2009; 01/12/2009; 01/12/2009; 01/12/2009; 01/12/2009; 01/12/2009; 01/12/2009; 01/12/2009; 01/12/2009; 01/12/2009; 01/12/2009,-; -; -; -; -; -; -; -; -; -; -; -; -,Y; N; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y,-; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -
323,Margate and Long Sands,SAC,https://designatedsites.naturalengland.org.uk/Marine/MarineFeatureCondition.aspx?SiteCode=UK0030371&SiteName=margate&SiteNameDisplay=Margate+and+Long+Sands+SAC&countyCode=&responsiblePerson=&SeaArea=&IFCAArea=,http://publications.naturalengland.org.uk/publication/3251957?category=3229185,Degraded/Degrading,,1,,,England inshore,,,UK0030371,,H1110 Sandbanks which are slightly covered by sea water all the time,29/09/2017,-,Y,-,-,-,100%,-,-,-
324,Wight-Barfleur Reef,SAC,https://data.jncc.gov.uk/data/11c55f61-4aa7-4665-a95b-0a552ccccd62/WBR-4-ConservationStatements-V1.0.pdf,https://data.jncc.gov.uk/data/11c55f61-4aa7-4665-a95b-0a552ccccd62/WBR-4-ConservationStatements-V1.0.pdf,Degraded/Degrading,,1,,,England offshore,,,UK0030380,,Reefs,1/9/2017,-,Y,-,-,-,-,-,-,-
325,Cardigan Bay/ Bae Ceredigion,SAC,https://cdn.cyfoethnaturiol.cymru/qo0fqiao/condition-assessment-for-cardigan-bay-sac.pdf,,Mixed_Picture,,6,0.66666,,Wales inshore,,,UK0012712,,Bottlenose dolphin (Tursiops truncatus); Grey seal (Halichoerus grypus); Reefs; River lamprey (Lampetra fluviatilis); Sandbanks which are slightly covered by seawater all the time; Sea lamprey (Petromyzon marinus); Submerged or partially submerged sea caves,01/12/2004; 01/12/2004; 01/12/2004; 01/12/2004; 01/12/2004; 01/12/2004; 01/12/2004,-; -; -; -; -; -; -,Y; Y; Y; Y; Y; Y; Y,-; -; -; -; -; -; -,-; -; -; -; -; -; -,-; -; -; -; -; -; -,-; -; -; -; -; -; -,-; -; -; -; -; -; -,-; -; -; -; -; -; -,-; -; -; -; -; -; -
326,Firth of Tay and Eden Estuary,SAC,https://sitelink.nature.scot/site/8257,,Mixed_Picture,,4,0.5,,Scotland inshore,,,UK0030311,,"Bar-tailed godwit (Limosa lapponica), non-breeding; Common scoter (Melanitta nigra), non-breeding; Cormorant (Phalacrocorax carbo), non-breeding; Dunlin (Calidris alpina alpina), non-breeding; Eider (Somateria mollissima), non-breeding; Goldeneye (Bucephala clangula), non-breeding; Goosander (Mergus merganser), non-breeding; Grey plover (Pluvialis squatarola), non-breeding; Greylag goose (Anser anser), non-breeding; Icelandica black-tailed godwit (Limosa limosa islandica), non-breeding; Little tern (Sternula albifrons), breeding; Long-tailed duck (Clangula hyemalis), non-breeding; Marsh harrier (Circus aeruginosus), breeding; Oystercatcher (Haematopus ostralegus), non-breeding; Pink-footed goose (Anser brachyrhynchus), non-breeding; Red-breasted merganser (Mergus serrator), non-breeding; Redshank (Tringa totanus), non-breeding; Sanderling (Calidris alba), non-breeding; Shelduck (Tadorna tadorna), non-breeding; Velvet scoter (Melanitta fusca), non-breeding; Waterfowl assemblage, non-breeding",02/02/2000; 02/02/2000; 02/02/2000; 02/02/2000; 02/02/2000; 02/02/2000; 02/02/2000; 02/02/2000; 02/02/2000; 02/02/2000; 02/02/2000; 02/02/2000; 02/02/2000; 02/02/2000; 02/02/2000; 02/02/2000; 02/02/2000; 02/02/2000; 02/02/2000; 02/02/2000; 02/02/2000,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -
327,"Inner Dowsing, Race Bank and North Ridge",SAC,https://designatedsites.naturalengland.org.uk/Marine/MarineFeatureCondition.aspx?SiteCode=UK0030370&SiteName=inner%20dows&SiteNameDisplay=Inner+Dowsing%2c+Race+Bank+and+North+Ridge+SAC&countyCode=&responsiblePerson=&SeaArea=&IFCAArea=,http://publications.naturalengland.org.uk/publication/3288484?category=3229185,Degraded/Degrading,"**Following our assessment methodology, this MPA was automatically categorised as ""Mixed Picture"" following the 80% rule, due to 33% of the MPA's features not being assessed. However, recently published advice states Natural England consider the impacts from Offshore Wind Farm infrastructure is likely to result in lasting change and/or loss of the Annex I sandbank feature, with no guarantee that it can be satisfactorily removed without causing wider damage to the site, and/or that the habitat will ever return to its original state. As such, we condsider this feature to be degraded and thus have categorised this as MPA as ""Degraded/Degrading"".",2,,,England inshore & England offshore,,,UK0030370,,H1110 Sandbanks which are slightly covered by sea water all the time; H1170 Reefs,29/09/2017; 29/09/2017,-; -,Y; Y,-; -,-; -,33%; 100%,-; -,-; -,-; -,67%; -
328,"Haisborough, Hammond and Winterton",SAC,https://designatedsites.naturalengland.org.uk/Marine/MarineFeatureCondition.aspx?SiteCode=UK0030369&SiteName=hais&SiteNameDisplay=Haisborough%2c+Hammond+and+Winterton+SAC&countyCode=&responsiblePerson=&SeaArea=&IFCAArea=,http://publications.naturalengland.org.uk/publication/3280435?category=3229185,Degraded/Degrading,,2,,,England inshore & England offshore,,,UK0030369,,H1110 Sandbanks which are slightly covered by sea water all the time; H1170 Reefs,29/09/2017; 29/09/2017,-; -,Y; Y,-; -,-; -,100%; 100%,-; -,-; -,-; -,-; -
329,Studland to Portland,SAC,https://designatedsites.naturalengland.org.uk/Marine/MarineFeatureCondition.aspx?SiteCode=UK0030382&SiteName=studland&SiteNameDisplay=Studland+to+Portland+SAC&countyCode=&responsiblePerson=&SeaArea=&IFCAArea=,http://publications.naturalengland.org.uk/publication/3282207?category=3229185,Recovered/Recovering,,1,1,,England inshore,,,UK0030382,,H1170 Reefs,29/09/2017,-,Y,100%,-,-,-,-,-,-
330,Darwin Mounds,SAC,https://data.jncc.gov.uk/data/9ea1103e-d37c-46d7-897b-ebd26925f315/DarwinMounds-4-ConservationStatements-V1.0.pdf,https://data.jncc.gov.uk/data/9ea1103e-d37c-46d7-897b-ebd26925f315/DarwinMounds-4-ConservationStatements-V1.0.pdf,Degraded/Degrading,,1,,,Scotland offshore,,,UK0030317,,Reefs,00/12/2015,-,Y,-,-,-,-,-,-,-
331,Lands End and Cape Bank,SAC,https://designatedsites.naturalengland.org.uk/Marine/MarineFeatureCondition.aspx?SiteCode=UK0030375&SiteName=lands%20end&SiteNameDisplay=Lands+End+and+Cape+Bank+SAC&countyCode=&responsiblePerson=&SeaArea=&IFCAArea=,http://publications.naturalengland.org.uk/publication/3261179?category=3229185,Recovered/Recovering,,1,1,,England inshore,,,UK0030375,,H1170 Reefs,29/09/2017,-,Y,100%,-,-,-,-,-,-
332,Y Fenai a Bae Conwy/ Menai Strait and Conwy Bay,SAC,https://cdn.cyfoethnaturiol.cymru/ygfl0bib/condition-assessment-for-menai-strait-and-conwy-bay-sac.pdf,,Mixed_Picture,,5,0.2,,Wales inshore,,,UK0030202,,Large shallow inlets and bays; Mudflats and sandflats not covered by seawater at low tide; Reefs; Sand banks which are slightly covered by seawater all the time; Submerged or partially submereged sea caves,01/12/2004; 01/12/2004; 01/12/2004; 01/12/2004; 01/12/2004,-; -; -; -; -,Y; Y; Y; Y; Y,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -
333,Solway Firth,SAC,https://sitelink.nature.scot/site/8377,,Condition_Unknown,,7,0.4286,,England inshore & Scotland inshore,,,UK0013025,,"Bar-tailed godwit (Limosa lapponica), non-breeding; Curlew (Numenius arquata), non-breeding; Golden plover (Pluvialis apricaria), non-breeding; Knot (Calidris canutus), non-breeding; Oystercatcher (Haematopus ostralegus), non-breeding; Pink-footed goose (Anser brachyrhynchus), non-breeding; Pintail (Anas acuta), non-breeding; Redshank (Tringa totanus), non-breeding; Red-throated diver (Gavia stellata), non-breeding; Ringed plover (Charadrius hiaticula), concentration; Greater scaup (Aythya marila), non-breeding; Barnacle goose (Branta leucopsis), non-breeding; Waterbird assemblage, non-breeding; Black-headed gull (Larsus ridibundus), non-breeding; Common gull (Larus canus), non-breeding; Black (common) scoter (Melanitta nigra), non-breeding; Cormorant (Phalacrocorax carbo), non-breeding; Dunlin (Calidris alpina alpina), non-breeding; Goldeneye (Bucephala clangula), non-breeding; Goosander (Mergus merganser), non-breeding; Grey plover (Pluvialis squatarola), non-breeding; Herring gull (Larus argentatus), non-breeding; Lapwing (Vanellus vanellus), non-breeding; Sanderling (Calidris alba), non-breeding; Shelduck (Tadorna tadorna), non-breeding; Shoveler (Anas clypeata), non-breeding; Teal (Anas crecca), non-breeding; Ruddy turnstone (Arenaria interpres), non-breeding; Whooper swan (Cygnus cygnus), non-breeding",03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -
334,Sunart,SAC,https://sitelink.nature.scot/site/8389,,Recovered/Recovering,,2,1,,Scotland inshore,,,UK0019803,,Coastal Saltmarshes and Saline Reedbeds; Esturine Rocky Habitats; Intertidal Coarse Sediment; Intertidal Mixed Sediments; Intertidal Mud,31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019,Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition,N; N; N; N; N,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -
335,Fal and Helford,SAC,https://designatedsites.naturalengland.org.uk/Marine/MarineFeatureCondition.aspx?SiteCode=UK0013112&SiteName=fal%20and&SiteNameDisplay=Fal+and+Helford+SAC&countyCode=&responsiblePerson=&SeaArea=&IFCAArea=,http://publications.naturalengland.org.uk/publication/3048654?category=3229185,Mixed_Picture,,6,0.16,,England inshore,,,UK0013112,,H1110 Sandbanks which are slightly covered by sea water at all time; H1130 Estuaries; H1140 Mudflats and sandflats not covered by seawater at low tide; H1160 Large shallow inlets and bays; H1170 Reefs; H1330 Atlantic salt meadows (Glauco-Puccinellietalia maritimae); S1441 Shore dock (Rumex rupestris),01/04/2005; 01/04/2005; 01/04/2005; 01/04/2005; 01/04/2005; 01/04/2005; 01/04/2005,-; -; -; -; -; -; -,Y; Y; Y; Y; Y; N; N,15%; 8%; 1%; 20%; 52%; -; -,-; -; -; -; -; -; -,51%; 87%; 99%; 56%; 48%; -; -,34%; 1%; -; 24%; -; -; -,-; -; -; -; -; -; -,-; -; -; -; -; -; -,-; 4%; -; -; -; -; -
336,Stanton Banks,SAC,https://data.jncc.gov.uk/data/9864f155-3f62-4ac1-85a3-e26e53a7b59b/StantonBanks-4-ConservationStatements-V1.0.pdf,https://data.jncc.gov.uk/data/9864f155-3f62-4ac1-85a3-e26e53a7b59b/StantonBanks-4-ConservationStatements-V1.0.pdf,Degraded/Degrading,,1,,,Scotland offshore,,,UK0030359,,Reefs,17/12/2015,-,Y,-,-,-,-,-,-,-
337,Lyme Bay and Torbay,SAC,https://designatedsites.naturalengland.org.uk/Marine/MarineFeatureCondition.aspx?SiteCode=UK0030372&SiteName=lyme%20bay&SiteNameDisplay=Lyme+Bay+and+Torbay+SAC&countyCode=&responsiblePerson=&SeaArea=&IFCAArea=,http://publications.naturalengland.org.uk/publication/3263526?category=3229185,Recovered/Recovering,,2,0.65,,England inshore,,,UK0030372,,H1170 Reefs; H8330 Submerged or partially submerged sea caves,29/09/2017; 29/09/2017,-; -,Y; Y,30%; 100%,70%; -,-; -,-; -,-; -,-; -,-; -
338,Pobie Bank Reef,SAC,https://sitelink.nature.scot/site/10258,,Condition_Unknown,,1,,,Scotland inshore & Scotland offshore,,,UK0030385,,Reefs,29/09/2017,-,N,-,-,-,-,-,-,-
339,Sound of Barra,SAC,https://sitelink.nature.scot/site/8602,,Mixed_Picture,,3,0.33333,,Scotland inshore,,,UK0012705,,Harbour seal (Phoca vitulina); Reefs; Subtidal sandbanks,03/12/2014; 03/12/2014; 03/12/2014,Maintain; Maintain; Restore,N; Y; Y,-; -; -,-; -; -,-; -; -,-; -; -,-; -; -,-; -; -,-; -; -
340,Strangford Lough,SAC,https://www.daera-ni.gov.uk/publications/reasons-designation-special-area-conservation-strangford-lough,https://www.daera-ni.gov.uk/sites/default/files/publications/doe/Strangford%20Lough%20SAC%20Conservation%20Objectives%202018_.pdf,Mixed_Picture,,7,0.427571,,Northern Ireland inshore,,,UK0016618,,"Arctic tern (Sterna paradisaea), breeding; Common redshank (Tringa totanus), wintering; Common tern (Sterna hirundo), breeding; Knot (Calidris canutus), non-breeding; Light bellied brent goose (Branta bernicla hrota), wintering; Sandwich tern (Sterna sandvicensis), breeding; Waterbird assemblage, wintering",09/03/1998; 09/03/1998; 09/03/1998; 09/03/1998; 09/03/1998; 09/03/1998; 09/03/1998,-; -; -; -; -; -; -,Y; Y; Y; Y; Y; Y; Y,-; -; -; -; -; -; -,-; -; -; -; -; -; -,-; -; -; -; -; -; -,-; -; -; -; -; -; -,-; -; -; -; -; -; -,-; -; -; -; -; -; -,-; -; -; -; -; -; -
341,Wyville Thomson Ridge,SAC,https://data.jncc.gov.uk/data/7cf04536-3b7d-4e76-a237-38ecc79e859b/WTR-4-ConservationStatements-V1.0.pdf. Condition as reported in conservation statements,https://data.jncc.gov.uk/data/7cf04536-3b7d-4e76-a237-38ecc79e859b/WTR-4-ConservationStatements-V1.0.pdf,Degraded/Degrading,,1,,,Scotland offshore,,,UK0030355,,Reefs,00/09/2017,-,Y,-,-,-,-,-,-,-
342,Berwickshire and North Northumberland Coast,SAC,https://sitelink.nature.scot/site/8207,http://publications.naturalengland.org.uk/publication/5920077534724096,Condition_Unknown,,5,0.4,,England inshore & Scotland inshore,,,UK0017072,,H1140 Mudflats and sandflats not covered by seawater at low tide; H1160 Large shallow inlets and bays; Grey seal (Halichoerus grypus); Reefs; Sea caves,17/03/2005; 17/03/2005; 17/03/2005; 17/03/2005; 17/03/2005,-; -; -; -; -,N; N; Y; N; Y,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -
343,Plymouth Sound and Estuaries,SAC,https://designatedsites.naturalengland.org.uk/Marine/MarineFeatureCondition.aspx?SiteCode=UK0013111&SiteName=plymouth&SiteNameDisplay=Plymouth+Sound+and+Estuaries+SAC&countyCode=&responsiblePerson=&SeaArea=&IFCAArea=,http://publications.naturalengland.org.uk/publication/3148503?category=3229185,Mixed_Picture,,7,0.3985,,England inshore,,,UK0013111,,H1110 Sandbanks which are slightly covered by sea water all the time; H1130 Estuaries; H1140 Mudflats and sandflats not covered by seawater at low tide; H1160 Large shallow inlets and bays; H1170 Reefs; H1330 Atlantic salt meadows (Glauco-Puccinellietalia maritimae); S1102 Allis shad (Alosa alosa); S1441 Shore dock (Rumex rupestris),01/04/2005; 01/04/2005; 01/04/2005; 01/04/2005; 01/04/2005; 01/04/2005; 01/04/2005; 01/04/2005,-; -; -; -; -; -; -; -,Y; Y; Y; Y; Y; N; N; N,1%; 56%; 84%; 39%; 99%; -; -; -,-; -; -; -; -; -; -; -,18%; 3%; 5%; 12%; -; -; -; -,81%; 41%; 11%; 49%; 1%; -; -; -,-; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -
344,Humber Estuary,SAC,https://designatedsites.naturalengland.org.uk/Marine/MarineFeatureCondition.aspx?SiteCode=UK0030170&SiteName=humber&SiteNameDisplay=Humber+Estuary+SAC&countyCode=&responsiblePerson=&SeaArea=&IFCAArea=,http://publications.naturalengland.org.uk/publication/3060748?category=3229185,Condition_Unknown,,7,,,England inshore,,,UK0030170,,Coastal Saltmarshes and Saline Reedbeds; Esturine Rocky Habitats; Intertidal Coarse Sediment; Intertidal Mixed Sediments; Intertidal Mud,31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019,Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition,N; N; N; N; N,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -
345,North Channel,SAC,https://jncc.gov.uk/our-work/north-channel-mpa/,https://data.jncc.gov.uk/data/be0492aa-f1d6-4197-be22-e9a695227bdb/NorthChannel-conservation-advice.pdf,Recovered/Recovering,,1,1,,Northern Ireland inshore & Northern Ireland offshore,,,UK0030399,,Harbour porpoise (Phocoena phocoena),26/02/2019,-,Y,-,-,-,-,-,-,-
346,Firth of Lorn,SAC,https://sitelink.nature.scot/site/8256,https://sitelink.nature.scot/site/8256,Recovered/Recovering,,1,1,,Scotland inshore,,,UK0030041,,Reefs,17/03/2005,-,Y,-,-,-,-,-,-,-
347,Isles of Scilly Complex,SAC,https://designatedsites.naturalengland.org.uk/Marine/MarineSiteDetail.aspx?SiteCode=UK0013694&SiteName=Isles+of+Scilly+Complex&SiteNameDisplay=Isles+of+Scilly+Complex+SAC&countyCode=&responsiblePerson=&SeaArea=&IFCAArea=&NumMarineSeasonality=1&HasCA=1,http://publications.naturalengland.org.uk/publication/3084503?category=3229185,Mixed_Picture,,4,0.7315,,England inshore,,,UK0013694,,H1110 Sandbanks which are slightly covered by sea water all the time; H1140 Mudflats and sandflats not covered by seawater at low tide; H1170 Reefs; S1364 Grey seal (Halichoerys gryous); S1441 Shore dock (Rumex rupestris),20/05/2004; 20/05/2004; 20/05/2004; 20/05/2004; 20/05/2004,-; -; -; -; -,Y; Y; Y; N; N,92.6%; 100%; 100%; -; -,0.8%; -; -; -; -,-; -; -; -; -,6.3%; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -
348,Severn Estuary/ Môr Hafren,SAC,https://cdn.cyfoethnaturiol.cymru/media/684391/severn-sac-ica-2018.pdf,https://naturalresources.wales/media/673887/severn-estuary-sac-spa-and-ramsar-reg-33-advice-from-ne-and-ccw-june-09.pdf,Mixed_Picture,,7,0.1423,,England inshore & Wales inshore,,,UK0013030,,Atlantic salt meadows (Glauco-Puccinellietalia maritimae); Estuaries; Mudflats and sandflats not covered by seawater at low tide; Reefs; River lamprey (Lampetra fluviatilis); Sandbanks which are slightly covered by seawater all the time; Sea lamprey (Petromyzon marinus); Twaite shad (Alosa fallax),10/12/2009; 10/12/2009; 10/12/2009; 10/12/2009; 10/12/2009; 10/12/2009; 10/12/2009; 10/12/2009,-; -; -; -; -; -; -; -,Y; Y; Y; Y; Y; Y; Y; Y,-; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -
349,Carmarthen Bay and Estuaries/ Bae Caerfyrddin ac Aberoedd,SAC,https://cdn.cyfoethnaturiol.cymru/s5iap400/condition-assessment-for-carmarthen-bay-and-estuaries-sac.pdf,,Mixed_Picture,,11,0.36363636,,Wales inshore,,,UK0020020,,Allis shad (Alosa alosa & Alosa fallax); Twaite shad (Alosa fallax); Atlantic salt meadows (Glauco-Puccinellietalia maritimae); Estuaries; Large shallow inlets and bays; Mudflats and sandflats not covered by seawater at low tide; Otter (Lutra lutra); River lamprey (Lampetra fluviatilis); Salicornia and other annuals colonizing mud and sand; Sandbanks which are slightly coverd by seawater all the time; Sea lamprey (Petromyzon marinus),01/12/2004; 01/12/2004; 01/12/2004; 01/12/2004; 01/12/2004; 01/12/2004; 01/12/2004; 01/12/2004; 01/12/2004; 01/12/2004; 01/12/2004,-; -; -; -; -; -; -; -; -; -; -,Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y,-; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -
350,North Norfolk Sandbanks and Saturn Reef,SAC,https://data.jncc.gov.uk/data/d4c43bd4-a38d-439e-a93f-95d29636cb17/NNSSR-4-Statements-v1.0.pdf,https://data.jncc.gov.uk/data/d4c43bd4-a38d-439e-a93f-95d29636cb17/NNSSR-4-Statements-v1.0.pdf,Degraded/Degrading,,2,,,England offshore,,,UK0030358,,Reefs; Sandbanks which are slightly covered by seawater all the time,01/09/2017; 01/09/2017,-; -,Y; Y,-; -,-; -,-; -,-; -,-; -,-; -,-; -
351,Start Point to Plymouth Sound & Eddystone,SAC,https://designatedsites.naturalengland.org.uk/Marine/MarineFeatureCondition.aspx?SiteCode=UK0030373&SiteName=start%20point&SiteNameDisplay=Start+Point+to+Plymouth+Sound+and+Eddystone+SAC&countyCode=&responsiblePerson=&SeaArea=&IFCAArea=,http://publications.naturalengland.org.uk/publication/3266966?category=3229185,Recovered/Recovering,,1,1,,England inshore,,,UK0030373,,H1170 Reefs,29/09/2017,-,Y,100%,-,-,-,-,-,-
